"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"19","Asia","btn","Bhutan",75.34,11289,8804142012,4.65,2021-12-20,72.4,75.58,147.979612770868,147.98,564611,NA,1154093,779900
"20","South America","bol","Bolivia",73.85,8249,97612676280,2.68,2021-12-20,37.42,45.03,78.0166562212455,78.02,4427369,459041,9231661,11832936
"21","Europe","bih","Bosnia and Herzegovina",77.29,14765,48184806971,3.66,2021-12-20,22.08,27.05,47.6143257813259,47.61,720631,22572,1553874,3263459
"22","Africa","bwa","Botswana",70.17,16813,40305644596,3.24,2021-12-20,41.81,46.97,88.78339256812,88.78,1002358,NA,2128351,2397240
"23","South America","bra","Brazil",76.34,14390,3079431355457,1.94,2021-12-20,66.22,77.33,152.151151679457,152.15,141702263,23326643,325593485,213993441
"24","North America","blz","Belize",74.69,5851,2369315974,4.29,2021-12-20,48.95,56.73,104.085548818888,104.09,198204,NA,421458,404915
"25","Oceania","slb","Solomon Islands",69.1,2477,1743452809,2.25,2021-12-20,7.95,25.56,33.5113175519712,33.51,55945,NA,235918,703995
"26","Asia","brn","Brunei",75.9,63588,28076088275,2.31,2021-12-20,87.29,91.75,179.037079985143,179.04,385414,NA,790506,441532
"27","Europe","bgr","Bulgaria",75.36,23631,162976949316,5.03,2021-12-20,27.23,27.61,52.2381067343517,52.24,1877872,226043,3602682,6896655
"28","Asia","mmr","Myanmar",69.53,4769,261393458894,0.78,2021-12-20,21.64,30.74,52.380693111526,52.38,11858598,NA,28707770,54806014
"29","Africa","bdi","Burundi",62.91,719,8813046067,0.69,2021-12-20,0.02,0.03,0.0496596243183327,0.05,2076,NA,6086,12255429
"30","Europe","blr","Belarus",74.77,19133,180672822434,1.31,2021-12-20,32.19,43.04,76.4357583348362,76.44,3039334,114146,7217727,9442867
"31","Asia","khm","Cambodia",70.87,4344,73620827108,4.93,2021-12-20,80.21,83.95,176.026991146108,176.03,13592006,3065752,29830319,16946446
"32","Africa","cmr","Cameroon",64.51,3482,94789307542,1.73,2021-12-20,2.3,2.96,3.62280160248237,3.62,627046,NA,986281,27224262
"33","North America","can","Canada",82.46,47650,1813949801645,3.54,2021-12-20,76.99,82.75,171.760374675649,171.76,29308292,4577050,65385590,38067913
"34","Africa","cpv","Cape Verde",76.57,6368,3578314125,4.71,2021-12-20,45.55,53.89,101.642460148674,101.64,255954,NA,571130,561901
"35","Africa","caf","Central African Republic",53.63,943,4639221714,2.98,2021-12-20,6.99,9.08,16.0728473469544,16.07,344070,NA,790782,4919987
"36","Asia","lka","Sri Lanka",78.14,12957,278539782821,3.47,2021-12-20,64.24,74.28,150.177450141892,150.18,13810482,2505477,32284106,21497306
"37","Africa","tcd","Chad",61.22,1502,25408321423,-0.34,2021-12-20,0.48,1.69,2.16722036702959,2.17,80663,NA,366585,16914985
"38","South America","chl","Chile",80.28,24346,467746480632,2.76,2021-12-20,85.44,89.3,223.647456778089,223.65,16414823,9969646,42967959,19212362
"39","Asia","chn","China",77.87,17744,25626456257369,5.33,2021-12-20,82.64,84.82,186.61895517351,186.62,1193466000,120580000,2695181000,1444216102
